327,Isa,17
328,Badiyah,17
329,Hidd,17
330,Jidd Hafs,17
331,Mahama,17
332,Manama,17
333,Sitrah,17
334,al-Manamah,17
335,al-Muharraq,17
336,ar-Rifa'a,17
1977,Ajlun,111
1978,Amman,111
1979,Irbid,111
1980,Jarash,111
1981,Ma'an,111
1982,Madaba,111
1983,al-'Aqabah,111
1984,al-Balqa',111
1985,al-Karak,111
1986,al-Mafraq,111
1987,at-Tafilah,111
1988,az-Zarqa',111
2082,Al Asimah,117
2083,Hawalli,117
2084,Mishref,117
2085,Qadesiya,117
2086,Safat,117
2087,Salmiya,117
2088,al-Ahmadi,117
2089,al-Farwaniyah,117
2090,al-Jahra,117
2091,al-Kuwayt,117
2713,Al Buraimi,165
2714,Dhufar,165
2715,Masqat,165
2716,Musandam,165
2717,Rusayl,165
2718,Wadi Kabir,165
2719,ad-Dakhiliyah,165
2720,adh-Dhahirah,165
2721,al-Batinah,165
2722,ash-Sharqiyah,165
2920,Doha,178
2921,Jarian-al-Batnah,178
2922,Umm Salal,178
2923,ad-Dawhah,178
2924,al-Ghuwayriyah,178
2925,al-Jumayliyah,178
2926,al-Khawr,178
2927,al-Wakrah,178
2928,ar-Rayyan,178
2929,ash-Shamal,178
3146,Al Khobar,191
3147,Aseer,191
3148,Ash Sharqiyah,191
3149,Asir,191
3150,Central Province,191
3151,Eastern Province,191
3152,Ha'il,191
3153,Jawf,191
3154,Jizan,191
3155,Makkah,191
3156,Najran,191
3157,Qasim,191
3158,Tabuk,191
3159,Western Province,191
3160,al-Bahah,191
3161,al-Hudud-ash-Shamaliyah,191
3162,al-Madinah,191
3163,ar-Riyad,191
3796,Abu Dhabi,229
3797,Ajman,229
3798,Dubai,229
3799,Ras al-Khaymah,229
3800,Sharjah,229
3802,Umm al Qaywayn,229
3803,Fujayrah,229
3919,Alabama,231
3920,Alaska,231
3921,Arizona,231
3922,Arkansas,231
3923,Byram,231
3924,California,231
3925,Cokato,231
3926,Colorado,231
3927,Connecticut,231
3928,Delaware,231
3929,District of Columbia,231
3930,Florida,231
3931,Georgia,231
3932,Hawaii,231
3933,Idaho,231
3934,Illinois,231
3935,Indiana,231
3936,Iowa,231
3937,Kansas,231
3938,Kentucky,231
3939,Louisiana,231
3940,Lowa,231
3941,Maine,231
3942,Maryland,231
3943,Massachusetts,231
3944,Medfield,231
3945,Michigan,231
3946,Minnesota,231
3947,Mississippi,231
3948,Missouri,231
3949,Montana,231
3950,Nebraska,231
3951,Nevada,231
3952,New Hampshire,231
3953,New Jersey,231
3954,New Jersy,231
3955,New Mexico,231
3956,New York,231
3957,North Carolina,231
3958,North Dakota,231
3959,Ohio,231
3960,Oklahoma,231
3961,Ontario,231
3962,Oregon,231
3963,Pennsylvania,231
3964,Ramey,231
3965,Rhode Island,231
3966,South Carolina,231
3967,South Dakota,231
3968,Sublimity,231
3969,Tennessee,231
3970,Texas,231
3971,Trimble,231
3972,Utah,231
3973,Vermont,231
3974,Virginia,231
3975,Washington,231
3976,West Virginia,231
3977,Wisconsin,231
3978,Wyoming,231